,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
68,49.0,0.0,49.0,1075.072746038437,1071.065881729126,8.720218071053219e-08,8.720218071053219e-08,0.0,951.0
69,48.0,0.0,48.0,1737.3949010372162,1736.3771243095398,1.5131271532527124e-07,1.5131271532527124e-07,0.0,952.0
70,48.0,0.0,48.0,1634.5014605522156,1655.5190443992615,8.450255253642384e-08,8.450255253642384e-08,0.0,952.0
71,49.0,0.0,49.0,1610.4332149028778,1637.8735964298248,9.593595200937629e-08,9.593595200937629e-08,0.0,951.0
72,50.0,0.0,50.0,1754.2428977489471,1751.8829655647278,1.7132514756291857e-07,1.7132514756291857e-07,0.0,950.0
73,48.0,0.0,48.0,1625.1510844230652,1646.738669872284,1.6429059308101654e-07,1.6429059308101654e-07,0.0,952.0
74,49.0,0.0,49.0,1777.981014251709,1769.5113995075226,1.283752424828104e-07,1.283752424828104e-07,0.0,951.0
75,49.0,0.0,49.0,1649.468266248703,1669.8475544452667,1.0991033825618471e-07,1.0991033825618471e-07,0.0,951.0
76,48.0,0.0,48.0,1588.1595168113708,1616.6517605781555,1.1111526279629954e-07,1.1111526279629954e-07,0.0,952.0
77,49.0,0.0,49.0,1767.9483263492584,1710.6643986701965,9.871071158166375e-08,9.871071158166375e-08,0.0,951.0
78,47.0,0.0,47.0,1709.066556930542,1708.1367111206055,5.9360034895472314e-08,5.9360034895472314e-08,0.0,953.0
79,49.0,0.0,49.0,1711.4132807254791,1708.0706701278687,1.639954669830204e-07,1.639954669830204e-07,0.0,951.0
80,47.0,0.0,47.0,1745.6555655002594,1709.0543248653412,1.6689810798040856e-07,1.6689810798040856e-07,0.0,953.0
81,48.0,0.0,48.0,1735.65633893013,1700.6965987682343,1.0477854759588672e-07,1.0477854759588672e-07,0.0,952.0
82,50.0,0.0,50.0,1603.153561592102,1628.1954371929169,7.661524824800823e-08,7.661524824800823e-08,0.0,950.0
83,48.0,0.0,48.0,1646.5900354385376,1667.6650116443634,1.7818023677641479e-07,1.7818023677641479e-07,0.0,952.0
84,49.0,0.0,49.0,1607.9557144641876,1635.2618508338928,8.677127995135065e-08,8.677127995135065e-08,2.0,951.0
85,49.0,0.0,49.0,1746.9977169036865,1744.1890308856964,1.3844781736853972e-07,1.3844781736853972e-07,0.0,951.0
