,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
47,10.0,101.0,10.0,390.7440571784973,425.7867269515991,-0.6862628988806769,-0.6862628988806769,0.0,889.0
48,10.0,79.0,10.0,415.6311218738556,374.3450059890747,-0.6863669880466503,-0.6863669880466597,1.0,911.0
49,10.0,144.0,10.0,330.74813199043274,304.97394704818726,-0.6319519818238719,-0.6319519818238719,0.0,846.0
50,10.0,101.0,10.0,306.5367488861084,295.62523889541626,-0.6850516926700926,-0.6850516926700926,0.0,889.0
51,10.0,86.0,10.0,299.87532329559326,291.1902849674225,-0.6593965994210466,-0.6593965994210466,0.0,904.0
52,10.0,118.0,10.0,311.5677487850189,295.28041791915894,-0.6940057037748796,-0.6940057037748796,0.0,872.0
53,10.0,108.0,10.0,326.4038631916046,331.68583393096924,-0.6637272302421569,-0.6637272302421569,0.0,882.0
54,10.0,63.0,10.0,307.87626600265503,298.4534239768982,-0.699516413351683,-0.699516413351683,2.0,927.0
55,10.0,82.0,10.0,307.1066110134125,297.06873393058777,-0.6555416372349631,-0.6555416372349631,1.0,908.0
56,10.0,111.0,10.0,307.07124304771423,294.06275486946106,-0.640235645631433,-0.640235645631433,0.0,879.0
57,10.0,69.0,10.0,298.22420501708984,290.94556999206543,-0.6540143207421093,-0.6540143207421093,0.0,921.0
58,10.0,132.0,10.0,307.28413701057434,290.8909890651703,-0.6891015462369047,-0.6891015462369047,0.0,858.0
59,10.0,55.0,10.0,324.843514919281,325.18482398986816,-0.5883186178996292,-0.5883186178996292,0.0,935.0
60,10.0,83.0,10.0,300.180881023407,289.8332350254059,-0.6643701856523688,-0.6643701856523688,0.0,907.0
61,10.0,111.0,10.0,309.1142749786377,295.43073415756226,-0.6784205298641981,-0.6784205298641887,1.0,879.0
62,10.0,49.0,10.0,298.48768186569214,295.0496139526367,-0.6705314453147505,-0.6705314453147505,3.0,941.0
